station_id,station_name,date,latitude,longitude,water_temp_c,ph,dissolved_oxygen_mg_l,total_nitrogen_mg_l,total_phosphorus_mg_l,chlorophyll_a_ug_l,secchi_depth_m
WQ001,Lake Winnipeg North,2019-01-29,52.1234,-96.8765,6.5,8.2,7.1,0.79,0.078,15.6,2.9
WQ002,Lake Winnipeg South,2019-01-29,50.5432,-96.5432,4.6,7.7,8.7,0.81,0.06,7.9,2.1
WQ003,Red River - Selkirk,2019-01-29,50.1432,-96.8621,1.7,7.9,8.3,0.99,0.005,3.3,2.9
WQ004,Red River - Winnipeg,2019-01-29,49.8951,-97.1384,7.0,8.1,11.5,0.68,0.035,1.6,3.7
WQ005,Assiniboine River,2019-01-29,49.884,-97.21,6.0,8.2,14,0.79,0.062,6.5,2.3
WQ006,Lake Manitoba,2019-01-29,50.85,-98.79,8.6,8.6,7.9,0.68,0.059,8.9,1.4
WQ007,Shoal Lake,2019-01-29,49.67,-95.35,-0.5,7.5,9.9,0.77,0.057,1.2,1.5
WQ008,Netley Marsh,2019-01-29,50.32,-96.81,-0.0,8.2,10.6,1.1,0.066,4.0,3.6
WQ001,Lake Winnipeg North,2019-02-05,52.1234,-96.8765,3.7,7.9,9.2,0.62,0.007,5.8,2.7
WQ002,Lake Winnipeg South,2019-02-05,50.5432,-96.5432,3.3,7.9,10.6,1.32,0.051,2.5,2.0
WQ003,Red River - Selkirk,2019-02-05,50.1432,-96.8621,3.9,7.7,9.8,0.82,0.087,9.7,3.3
WQ004,Red River - Winnipeg,2019-02-05,49.8951,-97.1384,2.6,8.3,8.3,0.89,0.058,1.2,4.1
WQ005,Assiniboine River,2019-02-05,49.884,-97.21,5.1,7.5,10.8,0.68,0.05,7.3,2.8
WQ006,Lake Manitoba,2019-02-05,50.85,-98.79,-0.1,7.8,11.2,1.19,0.088,14.0,0.9
WQ007,Shoal Lake,2019-02-05,49.67,-95.35,5.5,7.5,12.4,0.88,0.027,15.0,3.0
WQ008,Netley Marsh,2019-02-05,50.32,-96.81,0.2,8.2,8.9,0.83,0.041,11.9,1.4
WQ001,Lake Winnipeg North,2019-02-12,52.1234,-96.8765,4.6,8.6,8.8,0.86,0.054,1.6,3.0
WQ002,Lake Winnipeg South,2019-02-12,50.5432,-96.5432,4.2,7.8,12.6,1.04,0.047,1.8,1.9
WQ003,Red River - Selkirk,2019-02-12,50.1432,-96.8621,6.5,8.1,10.7,0.74,0.062,4.4,3.1
WQ004,Red River - Winnipeg,2019-02-12,49.8951,-97.1384,3.6,8.3,11.0,0.77,0.033,0.5,1.9
WQ005,Assiniboine River,2019-02-12,49.884,-97.21,2.0,8.4,9.9,1.27,0.096,5.1,1.3
WQ006,Lake Manitoba,2019-02-12,50.85,-98.79,3.2,8.1,7.8,0.72,0.056,2.7,1.9
WQ007,Shoal Lake,2019-02-12,49.67,-95.35,2.5,8.6,9.8,0.55,0.043,9.8,2.0
WQ008,Netley Marsh,2019-02-12,50.32,-96.81,5.0,8.3,11.1,1.22,0.039,10.7,1.9
WQ001,Lake Winnipeg North,2019-02-19,52.1234,-96.8765,3.2,8.5,11.2,0.8,0.026,7.8,2.0
WQ002,Lake Winnipeg South,2019-02-19,50.5432,-96.5432,2.2,7.9,10.4,0.16,0.057,5.9,2.0
WQ003,Red River - Selkirk,2019-02-19,50.1432,-96.8621,6.1,8.3,9.1,0.6,0.064,0.5,2.2
WQ004,Red River - Winnipeg,2019-02-19,49.8951,-97.1384,2.7,8.1,10.3,0.81,0.073,6.1,2.2
WQ005,Assiniboine River,2019-02-19,49.884,-97.21,1.6,8.3,10.8,1.24,0.035,5.1,2.5
WQ006,Lake Manitoba,2019-02-19,50.85,-98.79,3.8,8.1,7.4,1.05,0.063,10.7,4.3
WQ007,Shoal Lake,2019-02-19,49.67,-95.35,3.4,8.1,10.0,1.38,0.015,7.4,1.3
WQ008,Netley Marsh,2019-02-19,50.32,-96.81,-1,7.5,7.9,1.12,0.033,3.9,1.6
WQ001,Lake Winnipeg North,2019-02-26,52.1234,-96.8765,5.2,7.8,12.0,0.5,0.035,5.6,2.5
WQ002,Lake Winnipeg South,2019-02-26,50.5432,-96.5432,6.8,8.1,8.2,0.63,0.039,8.6,2.8
WQ003,Red River - Selkirk,2019-02-26,50.1432,-96.8621,3.8,8.4,9.2,0.76,0.054,12.6,2.4
WQ004,Red River - Winnipeg,2019-02-26,49.8951,-97.1384,3.3,7.8,11.0,0.62,0.057,0.5,3.3
WQ005,Assiniboine River,2019-02-26,49.884,-97.21,1.3,7.9,11.6,0.4,0.048,5.4,1.7
WQ006,Lake Manitoba,2019-02-26,50.85,-98.79,6.7,8.5,7.0,0.37,0.066,0.5,2.2
WQ007,Shoal Lake,2019-02-26,49.67,-95.35,4.3,8.3,9.7,0.83,0.034,11.5,2.1
WQ008,Netley Marsh,2019-02-26,50.32,-96.81,4.7,7.9,10.2,0.75,0.047,0.5,3.1
WQ001,Lake Winnipeg North,2019-03-05,52.1234,-96.8765,6.8,8.2,11.1,1.05,0.069,6.5,2.7
WQ002,Lake Winnipeg South,2019-03-05,50.5432,-96.5432,5.7,8.1,8.5,0.81,0.012,5.0,2.8
WQ003,Red River - Selkirk,2019-03-05,50.1432,-96.8621,6.5,8.1,11.4,0.8,0.03,0.5,1.7
WQ004,Red River - Winnipeg,2019-03-05,49.8951,-97.1384,1.3,8.3,9.7,0.97,0.051,10.2,3.3
WQ005,Assiniboine River,2019-03-05,49.884,-97.21,2.7,8.0,9.2,0.31,0.064,10.9,2.5
WQ006,Lake Manitoba,2019-03-05,50.85,-98.79,3.0,8.4,6.5,0.85,0.053,2.1,3.6
WQ007,Shoal Lake,2019-03-05,49.67,-95.35,5.9,8.0,9.9,0.68,0.04,0.5,3.6
WQ008,Netley Marsh,2019-03-05,50.32,-96.81,6.1,8.3,8.4,1.42,0.09,5.9,1.8
WQ001,Lake Winnipeg North,2019-03-12,52.1234,-96.8765,2.3,8.2,8.6,0.79,0.072,0.5,4.1
WQ002,Lake Winnipeg South,2019-03-12,50.5432,-96.5432,7.1,7.7,7.9,0.71,0.029,3.7,0.4
WQ003,Red River - Selkirk,2019-03-12,50.1432,-96.8621,3.5,8.6,8.3,0.72,0.02,8.2,2.3
WQ004,Red River - Winnipeg,2019-03-12,49.8951,-97.1384,7.9,8.2,9.4,0.97,0.04,0.5,2.7
WQ005,Assiniboine River,2019-03-12,49.884,-97.21,3.7,8.1,10.6,0.65,0.058,13.7,1.6
WQ006,Lake Manitoba,2019-03-12,50.85,-98.79,7.5,8.0,8.9,1.53,0.053,11.9,3.2
WQ007,Shoal Lake,2019-03-12,49.67,-95.35,0.6,8.1,9.2,0.4,0.015,5.5,3.0
WQ008,Netley Marsh,2019-03-12,50.32,-96.81,4.8,8.0,8.8,0.5,0.039,0.5,2.3
WQ001,Lake Winnipeg North,2019-03-19,52.1234,-96.8765,4.0,7.8,9.7,0.57,0.05,7.5,2.6
WQ002,Lake Winnipeg South,2019-03-19,50.5432,-96.5432,4.9,7.6,9.4,0.88,0.063,0.5,2.6
WQ003,Red River - Selkirk,2019-03-19,50.1432,-96.8621,6.4,8.0,9.9,0.94,0.055,8.4,2.6
WQ004,Red River - Winnipeg,2019-03-19,49.8951,-97.1384,4.3,7.9,9.7,1.18,0.046,4.2,2.1
WQ005,Assiniboine River,2019-03-19,49.884,-97.21,5.6,7.8,11.4,0.52,0.029,6.0,2.6
WQ006,Lake Manitoba,2019-03-19,50.85,-98.79,4.6,8.4,9.4,0.93,0.032,11.3,3.0
WQ007,Shoal Lake,2019-03-19,49.67,-95.35,5.1,8.2,8.8,0.7,0.06,4.9,2.6
WQ008,Netley Marsh,2019-03-19,50.32,-96.81,1.3,8.2,9.0,0.47,0.047,0.5,3.1
WQ001,Lake Winnipeg North,2019-03-26,52.1234,-96.8765,5.7,8.1,8.5,0.52,0.047,0.5,2.6
WQ002,Lake Winnipeg South,2019-03-26,50.5432,-96.5432,5.3,8.0,9.3,0.85,0.057,10.5,2.5
WQ003,Red River - Selkirk,2019-03-26,50.1432,-96.8621,2.6,8.0,10.3,1.27,0.044,0.5,1.8
WQ004,Red River - Winnipeg,2019-03-26,49.8951,-97.1384,-0.2,8.2,8.0,0.43,0.01,0.5,3.0
WQ005,Assiniboine River,2019-03-26,49.884,-97.21,1.4,7.6,10.3,0.7,0.059,8.7,2.5
WQ006,Lake Manitoba,2019-03-26,50.85,-98.79,1.4,8.1,10.8,0.63,0.021,10.5,2.2
WQ007,Shoal Lake,2019-03-26,49.67,-95.35,3.2,8.1,11.5,0.88,0.043,8.4,4.2
WQ008,Netley Marsh,2019-03-26,50.32,-96.81,6.8,8.3,8.3,1.93,0.026,3.1,1.9
WQ001,Lake Winnipeg North,2019-04-02,52.1234,-96.8765,7.3,8.2,7.9,0.88,0.061,3.4,1.5
WQ002,Lake Winnipeg South,2019-04-02,50.5432,-96.5432,2.5,8.0,10.0,0.64,0.065,0.5,1.1
WQ003,Red River - Selkirk,2019-04-02,50.1432,-96.8621,2.5,8.5,9.1,1.5,0.06,0.5,1.8
WQ004,Red River - Winnipeg,2019-04-02,49.8951,-97.1384,4.5,7.7,13.6,0.5,0.064,12.3,2.4
WQ005,Assiniboine River,2019-04-02,49.884,-97.21,2.0,8.0,10.5,1.06,0.051,0.5,2.5
WQ006,Lake Manitoba,2019-04-02,50.85,-98.79,2.7,7.4,9.0,0.37,0.062,14.7,4.0
WQ007,Shoal Lake,2019-04-02,49.67,-95.35,2.9,8.0,11.0,1.12,0.042,4.3,4.3
WQ008,Netley Marsh,2019-04-02,50.32,-96.81,3.8,8.0,10.2,0.97,0.03,3.8,1.6
WQ001,Lake Winnipeg North,2019-04-09,52.1234,-96.8765,3.4,8.7,11.1,0.77,0.031,3.4,3.3
WQ002,Lake Winnipeg South,2019-04-09,50.5432,-96.5432,2.9,8.5,7.9,0.71,0.085,0.5,3.5
WQ003,Red River - Selkirk,2019-04-09,50.1432,-96.8621,0.3,8.1,9.7,1.05,0.005,0.5,2.0
WQ004,Red River - Winnipeg,2019-04-09,49.8951,-97.1384,4.1,7.8,9.7,0.44,0.042,0.8,2.7
WQ005,Assiniboine River,2019-04-09,49.884,-97.21,5.2,8.5,9.0,0.7,0.051,3.5,2.5
WQ006,Lake Manitoba,2019-04-09,50.85,-98.79,0.9,8.2,8.6,0.51,0.018,10.8,2.4
WQ007,Shoal Lake,2019-04-09,49.67,-95.35,6.3,8.2,7.4,0.47,0.065,1.2,1.6
WQ008,Netley Marsh,2019-04-09,50.32,-96.81,3.6,8.0,8.5,0.7,0.04,0.5,2.9
WQ001,Lake Winnipeg North,2019-04-16,52.1234,-96.8765,2.4,8.5,8.3,0.33,0.074,0.5,2.0
WQ002,Lake Winnipeg South,2019-04-16,50.5432,-96.5432,5.2,8.0,7.5,0.86,0.046,11.4,3.0
WQ003,Red River - Selkirk,2019-04-16,50.1432,-96.8621,10.1,7.6,10.0,0.48,0.073,9.1,3.1
WQ004,Red River - Winnipeg,2019-04-16,49.8951,-97.1384,2.4,7.9,7.0,1.31,0.06,3.7,3.2
WQ005,Assiniboine River,2019-04-16,49.884,-97.21,5.5,8.4,7.6,0.59,0.054,6.8,3.3
WQ006,Lake Manitoba,2019-04-16,50.85,-98.79,2.0,8.1,13.3,1.01,0.067,4.9,3.1
WQ007,Shoal Lake,2019-04-16,49.67,-95.35,7.6,8.1,11.8,0.54,0.062,9.5,1.9
WQ008,Netley Marsh,2019-04-16,50.32,-96.81,6.2,7.9,8.8,0.8,0.089,6.5,3.2
WQ001,Lake Winnipeg North,2019-04-23,52.1234,-96.8765,2.5,8.1,8.2,0.63,0.067,4.8,3.7
WQ002,Lake Winnipeg South,2019-04-23,50.5432,-96.5432,3.6,8.0,11.9,0.61,0.02,11.5,2.8
WQ003,Red River - Selkirk,2019-04-23,50.1432,-96.8621,-0.3,8.1,9.4,1.32,0.035,2.1,1.8
WQ004,Red River - Winnipeg,2019-04-23,49.8951,-97.1384,1.9,7.9,7.8,0.49,0.018,0.5,1.3
WQ005,Assiniboine River,2019-04-23,49.884,-97.21,3.0,7.9,8.2,0.94,0.049,2.8,2.1
WQ006,Lake Manitoba,2019-04-23,50.85,-98.79,7.2,8.2,10.7,0.1,0.037,0.5,2.2
WQ007,Shoal Lake,2019-04-23,49.67,-95.35,4.7,7.9,10.8,0.49,0.062,0.5,2.3
WQ008,Netley Marsh,2019-04-23,50.32,-96.81,4.8,8.3,9.8,1.38,0.042,2.7,0.3
WQ001,Lake Winnipeg North,2019-04-30,52.1234,-96.8765,7.5,8.0,8.2,1.2,0.075,5.5,1.4
WQ002,Lake Winnipeg South,2019-04-30,50.5432,-96.5432,4.8,7.9,8.2,1.11,0.007,7.8,2.9
WQ003,Red River - Selkirk,2019-04-30,50.1432,-96.8621,8.1,8.2,6.9,0.55,0.051,6.8,3.3
WQ004,Red River - Winnipeg,2019-04-30,49.8951,-97.1384,0.1,8.0,11.5,1.26,0.087,3.0,3.4
WQ005,Assiniboine River,2019-04-30,49.884,-97.21,7.4,8.5,11.1,1.05,0.034,0.5,3.3
WQ006,Lake Manitoba,2019-04-30,50.85,-98.79,3.3,8.1,9.1,0.68,0.055,0.5,2.6
WQ007,Shoal Lake,2019-04-30,49.67,-95.35,4.5,8.1,8.9,1.04,0.087,2.0,3.5
WQ008,Netley Marsh,2019-04-30,50.32,-96.81,5.8,7.3,8.9,0.61,0.066,5.9,2.9
WQ001,Lake Winnipeg North,2019-05-07,52.1234,-96.8765,14.3,7.8,7.4,0.68,0.067,11.9,2.1
WQ002,Lake Winnipeg South,2019-05-07,50.5432,-96.5432,11.5,8.4,9.9,1.51,0.084,13.4,2.5
WQ003,Red River - Selkirk,2019-05-07,50.1432,-96.8621,14.2,7.9,10.4,1.57,0.11,12.7,2.3
WQ004,Red River - Winnipeg,2019-05-07,49.8951,-97.1384,13.8,8.1,9.4,1.01,0.066,21.3,2.1
WQ005,Assiniboine River,2019-05-07,49.884,-97.21,13.1,8.4,8.7,1.14,0.069,6.4,2.0
WQ006,Lake Manitoba,2019-05-07,50.85,-98.79,10.7,8.2,6.7,1.33,0.085,13.9,1.9
WQ007,Shoal Lake,2019-05-07,49.67,-95.35,13.8,7.5,6.9,1.01,0.077,12.1,1.2
WQ008,Netley Marsh,2019-05-07,50.32,-96.81,13.3,8.0,6.9,1.15,0.066,18.5,2.5
WQ001,Lake Winnipeg North,2019-05-14,52.1234,-96.8765,14.5,8.2,7.2,0.77,0.041,26.9,1.1
WQ002,Lake Winnipeg South,2019-05-14,50.5432,-96.5432,12.6,8.0,8.1,0.87,0.033,7.5,0.9
WQ003,Red River - Selkirk,2019-05-14,50.1432,-96.8621,12.7,7.9,7.5,1.11,0.058,17.2,1.7
WQ004,Red River - Winnipeg,2019-05-14,49.8951,-97.1384,13.5,7.7,9.5,0.93,0.078,14.2,1.9
WQ005,Assiniboine River,2019-05-14,49.884,-97.21,13.4,8.0,10.5,1.33,0.08,6.6,1.1
WQ006,Lake Manitoba,2019-05-14,50.85,-98.79,11.7,8.0,9.2,0.78,0.094,12.5,0.4
WQ007,Shoal Lake,2019-05-14,49.67,-95.35,12.0,7.3,7.4,0.89,0.058,10.9,1.7
WQ008,Netley Marsh,2019-05-14,50.32,-96.81,11.8,8.6,10.3,0.71,0.095,4.4,1.3
WQ001,Lake Winnipeg North,2019-05-21,52.1234,-96.8765,16.1,7.4,9.4,0.67,0.067,11.6,3.4
WQ002,Lake Winnipeg South,2019-05-21,50.5432,-96.5432,11.4,8.1,9.4,0.97,0.054,12.2,2.1
WQ003,Red River - Selkirk,2019-05-21,50.1432,-96.8621,14.8,7.8,7.8,1.15,0.067,11.6,2.0
WQ004,Red River - Winnipeg,2019-05-21,49.8951,-97.1384,11.6,7.9,9.2,0.72,0.093,13.6,1.0
WQ005,Assiniboine River,2019-05-21,49.884,-97.21,13.6,8.2,9.6,1.4,0.063,9.0,1.5
WQ006,Lake Manitoba,2019-05-21,50.85,-98.79,11.0,7.9,8.9,1.05,0.06,8.8,2.3
WQ007,Shoal Lake,2019-05-21,49.67,-95.35,12.0,7.8,8.3,0.97,0.049,16.6,2.7
WQ008,Netley Marsh,2019-05-21,50.32,-96.81,13.1,8.1,9.3,1.04,0.088,20.8,2.1
WQ001,Lake Winnipeg North,2019-05-28,52.1234,-96.8765,13.9,8.4,8.0,0.71,0.088,4.7,3.4
WQ002,Lake Winnipeg South,2019-05-28,50.5432,-96.5432,14.7,8.2,8.6,1.58,0.051,6.7,1.5
WQ003,Red River - Selkirk,2019-05-28,50.1432,-96.8621,12.5,7.8,8.7,1.09,0.054,20.5,0.9
WQ004,Red River - Winnipeg,2019-05-28,49.8951,-97.1384,10.4,8.2,8.2,1.18,0.058,7.3,1.5
WQ005,Assiniboine River,2019-05-28,49.884,-97.21,11.6,8.3,7.8,1.28,0.082,17.7,2.7
WQ006,Lake Manitoba,2019-05-28,50.85,-98.79,14.6,8.3,7.7,0.97,0.033,14.0,1.5
WQ007,Shoal Lake,2019-05-28,49.67,-95.35,13.8,8.3,6.5,0.75,0.063,9.9,2.1
WQ008,Netley Marsh,2019-05-28,50.32,-96.81,10.7,8.1,6.0,0.4,0.084,6.0,1.6
WQ001,Lake Winnipeg North,2019-06-04,52.1234,-96.8765,19.2,7.7,6.4,1.18,0.11,22.2,1.3
WQ002,Lake Winnipeg South,2019-06-04,50.5432,-96.5432,23.5,8.4,7.6,1.18,0.11,28.8,2.0
WQ003,Red River - Selkirk,2019-06-04,50.1432,-96.8621,25.5,8.4,8.3,0.97,0.068,19.8,0.2
WQ004,Red River - Winnipeg,2019-06-04,49.8951,-97.1384,20.8,8.4,6.0,1.46,0.063,17.5,2.3
WQ005,Assiniboine River,2019-06-04,49.884,-97.21,22.4,8.2,9.6,1.69,0.072,26.6,1.0
WQ006,Lake Manitoba,2019-06-04,50.85,-98.79,22.0,8.1,8.6,0.96,0.099,22.6,2.1
WQ007,Shoal Lake,2019-06-04,49.67,-95.35,21.6,8.4,5.9,1.64,0.097,13.0,1.8
WQ008,Netley Marsh,2019-06-04,50.32,-96.81,22.4,8.0,5.9,1.23,0.061,28.5,0.6
WQ001,Lake Winnipeg North,2019-06-11,52.1234,-96.8765,20.7,8.4,7.9,1.52,0.12,18.4,0.7
WQ002,Lake Winnipeg South,2019-06-11,50.5432,-96.5432,23.7,8.3,6.5,0.92,0.115,22.9,0.4
WQ003,Red River - Selkirk,2019-06-11,50.1432,-96.8621,23.6,7.7,6.3,0.96,0.077,15.8,1.0
WQ004,Red River - Winnipeg,2019-06-11,49.8951,-97.1384,23.4,8.2,7.9,1.63,0.083,20.4,1.9
WQ005,Assiniboine River,2019-06-11,49.884,-97.21,25.4,8.4,9.1,1.61,0.111,11.1,2.2
WQ006,Lake Manitoba,2019-06-11,50.85,-98.79,22.4,8.1,6.2,1.17,0.098,24.2,0.3
WQ007,Shoal Lake,2019-06-11,49.67,-95.35,22.4,7.9,5.6,1.42,0.083,16.7,0.9
WQ008,Netley Marsh,2019-06-11,50.32,-96.81,22.6,8.1,5.4,1.05,0.086,22.0,0.7
WQ001,Lake Winnipeg North,2019-06-18,52.1234,-96.8765,23.0,7.9,11.1,1.02,0.074,21.0,0.8
WQ002,Lake Winnipeg South,2019-06-18,50.5432,-96.5432,23.7,8.6,6.4,1.35,0.08,20.0,2.6
WQ003,Red River - Selkirk,2019-06-18,50.1432,-96.8621,23.8,7.8,9.3,1.65,0.1,16.7,1.6
WQ004,Red River - Winnipeg,2019-06-18,49.8951,-97.1384,20.4,8.2,6.5,0.63,0.109,21.0,2.4
WQ005,Assiniboine River,2019-06-18,49.884,-97.21,21.7,8.2,8.7,1.42,0.096,36.1,1.4
WQ006,Lake Manitoba,2019-06-18,50.85,-98.79,22.3,8.6,5.8,0.99,0.061,22.7,2.0
WQ007,Shoal Lake,2019-06-18,49.67,-95.35,23.5,7.7,8.5,1.66,0.088,20.2,2.0
WQ008,Netley Marsh,2019-06-18,50.32,-96.81,22.7,8.3,5.4,1.25,0.066,23.2,1.9
WQ001,Lake Winnipeg North,2019-06-25,52.1234,-96.8765,21.8,8.2,4.7,1.56,0.081,20.6,2.4
WQ002,Lake Winnipeg South,2019-06-25,50.5432,-96.5432,20.5,8.5,7.2,1.31,0.101,13.8,2.0
WQ003,Red River - Selkirk,2019-06-25,50.1432,-96.8621,22.1,8.4,6.7,1.19,0.097,19.7,0.6
WQ004,Red River - Winnipeg,2019-06-25,49.8951,-97.1384,21.6,8.5,6.9,1.04,0.104,10.7,0.2
WQ005,Assiniboine River,2019-06-25,49.884,-97.21,22.0,8.2,7.3,1.03,0.087,13.0,1.7
WQ006,Lake Manitoba,2019-06-25,50.85,-98.79,18.8,8.1,7.4,0.77,0.08,23.9,2.7
WQ007,Shoal Lake,2019-06-25,49.67,-95.35,19.0,8.2,5.1,0.9,0.122,23.3,0.9
WQ008,Netley Marsh,2019-06-25,50.32,-96.81,22.4,8.3,7.3,1.97,0.102,5.0,1.3
WQ001,Lake Winnipeg North,2019-07-02,52.1234,-96.8765,20.5,8.0,7.0,1.1,0.068,26.8,2.0
WQ002,Lake Winnipeg South,2019-07-02,50.5432,-96.5432,20.7,8.3,8.0,1.68,0.069,23.9,1.0
WQ003,Red River - Selkirk,2019-07-02,50.1432,-96.8621,24.3,8.0,3.6,1.31,0.054,18.9,1.5
WQ004,Red River - Winnipeg,2019-07-02,49.8951,-97.1384,21.2,7.7,5.3,1.05,0.085,26.4,2.1
WQ005,Assiniboine River,2019-07-02,49.884,-97.21,21.1,8.5,4.9,1.51,0.086,21.2,2.0
WQ006,Lake Manitoba,2019-07-02,50.85,-98.79,20.6,8.3,7.0,2.02,0.084,26.3,2.0
WQ007,Shoal Lake,2019-07-02,49.67,-95.35,19.7,8.5,5.4,0.63,0.107,25.3,1.5
WQ008,Netley Marsh,2019-07-02,50.32,-96.81,21.5,8.6,8.1,1.1,0.105,13.8,1.1
WQ001,Lake Winnipeg North,2019-07-09,52.1234,-96.8765,19.9,7.4,5.2,1.67,0.068,17.2,0.6
WQ002,Lake Winnipeg South,2019-07-09,50.5432,-96.5432,23.7,8.1,7.7,1.27,0.067,15.1,2.2
WQ003,Red River - Selkirk,2019-07-09,50.1432,-96.8621,21.9,8.3,2.3,1.63,0.08,30.9,1.1
WQ004,Red River - Winnipeg,2019-07-09,49.8951,-97.1384,22.1,8.3,5.7,1.56,0.077,26.4,2.1
WQ005,Assiniboine River,2019-07-09,49.884,-97.21,23.0,7.9,6.7,1.39,0.049,17.2,2.3
WQ006,Lake Manitoba,2019-07-09,50.85,-98.79,19.5,8.5,6.1,1.4,0.067,22.4,1.9
WQ007,Shoal Lake,2019-07-09,49.67,-95.35,24.3,8.5,8.9,1.36,0.065,26.6,0.5
WQ008,Netley Marsh,2019-07-09,50.32,-96.81,21.1,8.3,7.7,1.78,0.09,11.5,1.3
WQ001,Lake Winnipeg North,2019-07-16,52.1234,-96.8765,22.3,8.0,9.1,1.23,0.061,22.3,0.6
WQ002,Lake Winnipeg South,2019-07-16,50.5432,-96.5432,25.4,8.2,4.9,1.62,0.137,10.0,2.2
WQ003,Red River - Selkirk,2019-07-16,50.1432,-96.8621,23.0,8.2,7.5,1.45,0.076,27.1,0.4
WQ004,Red River - Winnipeg,2019-07-16,49.8951,-97.1384,25.9,8.6,5.2,1.3,0.118,17.5,1.4
WQ005,Assiniboine River,2019-07-16,49.884,-97.21,21.2,8.5,6.1,1.3,0.101,19.0,0.8
WQ006,Lake Manitoba,2019-07-16,50.85,-98.79,19.3,7.6,5.2,0.78,0.075,21.5,1.5
WQ007,Shoal Lake,2019-07-16,49.67,-95.35,20.3,7.8,5.5,0.88,0.065,23.6,0.4
WQ008,Netley Marsh,2019-07-16,50.32,-96.81,22.0,7.9,10.6,0.76,0.094,18.3,0.9
